link_team,club_team,link_lega,nome_lega
/it/team/57/aj-auxerre/,AJ Auxerre,/it/teams/?league=17,Domino's Ligue 2
/it/team/110911/foggia/,Foggia,/it/teams/?league=32,Calcio B
/it/team/543/regensburg/,Regensburg,/it/teams/?league=20,Bundesliga 2
/it/team/294/es-troyes-ac/,ES Troyes AC,/it/teams/?league=17,Domino's Ligue 2
/it/team/111035/lobos/,Lobos,/it/teams/?league=341,LIGA Bancomer MX
/it/team/113157/sanf-hiroshima/,Sanf. Hiroshima,/it/teams/?league=349,Meiji Yasuda J1
/it/team/112578/rionegro-%C3%A1guilas/,Rionegro Águilas,/it/teams/?league=336,Liga Dimayor
/it/team/112408/al-wehda/,Al Wehda,/it/teams/?league=350,Saudi Professional League
/it/team/269/br%C3%B8ndby-if/,Brøndby IF,/it/teams/?league=1,Superliga
/it/team/111817/paris-fc/,Paris FC,/it/teams/?league=17,Domino's Ligue 2
/it/team/112534/uni-concepci%C3%B3n/,Uni. Concepción,/it/teams/?league=335,Camp. Scotiabank
/it/team/2013/kas-eupen/,KAS Eupen,/it/teams/?league=4,Pro League
/it/team/82/kilmarnock/,Kilmarnock,/it/teams/?league=50,Scottish Prem
/it/team/110930/orlando-pirates/,Orlando Pirates,/it/teams/?league=76,Resto del mondo
/it/team/634/fortuna-sittard/,Fortuna Sittard,/it/teams/?league=10,Eredivisie
/it/team/503/dinamo-dresda/,Dinamo Dresda,/it/teams/?league=20,Bundesliga 2
/it/team/2007/sport-lokeren/,Sport. Lokeren,/it/teams/?league=4,Pro League
/it/team/468/elche-cf/,Elche CF,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/112429/guangzhou-r-f/,Guangzhou R&F,/it/teams/?league=2012,CSL
/it/team/110066/rayo/,Rayo,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/15019/n%C3%A0stic/,Nàstic,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/110912/padova/,Padova,/it/teams/?league=32,Calcio B
/it/team/64/rc-lens/,RC Lens,/it/teams/?league=17,Domino's Ligue 2
